question,source,question_id,subfield,cutoff_year,cutoff_date,control_subtype,txt_n_words,txt_n_entities,txt_n_numbers,txt_has_causal,txt_has_comparison,txt_has_mechanism,txt_has_measurable,txt_has_alternatives,txt_has_falsification,txt_is_yesno,txt_specificity,ev_top1_sim,ev_top5_mean_sim,ev_n_similar,ev_n_instruments,ev_tension_density,ev_age_mean,ev_age_std,ev_recency_share,ev_native_n_papers,ev_native_year_spread,ev_has_native_record,nov_nn_sim,nov_semantic_distance,nov_mean_top10_sim,nov_pair_doc_count,nov_new_pair,nov_review_overlap,fal_outcome_variable,fal_competing_rule,fal_quant_threshold,fal_named_dataset,tra_n_facilities_mentioned,tra_n_facilities_operational,tra_mentions_future_facility,tra_needs_new_instrument,tra_archival_data,tra_longitudinal,tra_needs_theory,tra_sample_scale,env_pub_volume_3y,env_pub_share_3y,env_growth_ratio,env_review_count_3y,env_years_to_next_facility,env_facility_within_3y,fal_observable,fal_competing_llm,fal_quant_test,fal_falsification_path,future_paper_count,future_paper_count_weak,first_follow_up_date,lead_time_months,review_recognition,addressed,answer_status,n_direct,n_adjacent,premise_status,confidence,judge_model,y_addressed
"What is the cause of the 4-sigma discrepancy in the depth of Ks-band transits compared to J-band transits for the same exoplanet, and how can future observations resolve this discrepancy?",evidence_tension,exoplanet_atmospheres-2012-000,exoplanet_atmospheres,2012,2012-12-31,,30,0,1,1,1,0,0,0,0,0,1,0.2293361744445342,0.18397103303903645,4,2,0.4,0.9,0.8306623862918076,1.0,2,6,1,0.2293361744445342,0.7706638255554659,0.1510197291727044,0,1,0.04383652855616983,0,0,1,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,1,1,8,2014-06-12,18.0,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
"What is the orbital eccentricity of the hypothetical second planet interacting with the hot Jupiter that has an anomalously large radius, and how does this eccentricity affect the stability and survival of short-period hot Jupiters?",evidence_tension,exoplanet_atmospheres-2012-001,exoplanet_atmospheres,2012,2012-12-31,,35,0,0,0,0,0,1,0,0,0,1,0.20629980421447536,0.15409812780620558,1,0,0.4,3.4,2.33238075793812,0.5,3,6,1,0.20629980421447536,0.7937001957855246,0.13874919871341046,0,1,0.05304166391721987,1,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,1,1,0,6,,,False,False,not_addressed,0,5,intact,1.0,gpt-4o,0
"What are the underlying physical mechanisms that cause the observed discrepancies in radius variations and brightness in the mid-infrared secondary eclipse for pM Class planets, specifically for HD 149026b and HD 209458b?",evidence_tension,exoplanet_atmospheres-2012-002,exoplanet_atmospheres,2012,2012-12-31,,32,2,0,1,0,1,1,0,0,0,3,0.19731315440242195,0.16485996349943668,4,1,0.4,3.9,2.022374841615669,0.2,3,5,1,0.19731315440242195,0.8026868455975781,0.1440842976469235,0,1,0.06597635903538006,1,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,1,1,4,2017-10-20,58.0,False,True,partially_addressed,4,2,intact,0.9,gpt-4o,1
"What is the true value of the angle lambda between the sky projections of the stellar spin axis and the orbit normal for the system studied in astro-ph/0609506, and how does it relate to the anomalous Doppler shifts observed in the stellar spectrum during transits?",evidence_tension,exoplanet_atmospheres-2012-003,exoplanet_atmospheres,2012,2012-12-31,,45,0,1,0,0,0,1,0,0,0,2,0.41260245910188587,0.20776794521617586,2,4,0.4,2.5,2.247220505424423,0.6,3,4,1,0.41260245910188587,0.5873975408981141,0.15270711658889388,0,1,0.02656757756547966,1,0,1,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,1,1,1,5,2013-06-04,6.0,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
What are the additional sources of internal heat or mechanisms that suppress cooling in hot Jupiters with anomalously inflated radii exceeding Jupiter's size by more than 60%?,evidence_tension,exoplanet_atmospheres-2012-004,exoplanet_atmospheres,2012,2012-12-31,,27,0,1,1,1,1,1,0,0,0,2,0.27906116411820747,0.18650030299345538,3,1,0.5,1.7,1.8466185312619385,0.7,4,5,1,0.27906116411820747,0.7209388358817925,0.14235706791931096,0,1,0.02706649532607537,1,0,1,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,1,4,6,2013-03-01,3.0,False,True,partially_addressed,5,3,intact,1.0,gpt-4o,1
"How does the atmospheric opacity of exoplanets vary with wavelength in the mid-infrared, specifically comparing the opacity at 3.6 microns to that at 4.5 microns, and what factors contribute to the observed discrepancies with model predictions?",evidence_tension,exoplanet_atmospheres-2012-005,exoplanet_atmospheres,2012,2012-12-31,,36,0,2,0,1,0,0,0,0,0,2,0.12258658115641022,0.1194182991164779,0,3,0.5,3.2,1.6613247725836149,0.3,2,4,1,0.12258658115641022,0.8774134188435898,0.10954448079887069,0,1,0.03921235238036333,0,0,1,0,0,0,0,0,0,0,1,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,1,1,0,1,,,False,True,partially_addressed,2,6,intact,1.0,gpt-4o,1
"What are the underlying mechanisms that lead to the anomalously large radii of hot Jupiters, and how do these mechanisms relate to their migration history and the observed inclination and eccentricity distributions?",evidence_tension,exoplanet_atmospheres-2012-006,exoplanet_atmospheres,2012,2012-12-31,,32,0,0,1,0,1,1,0,0,0,1,0.15934771339007278,0.14973362983486493,2,1,0.3,1.7,1.6155494421403511,0.7,4,4,1,0.15934771339007278,0.8406522866099272,0.13456788920637974,0,1,0.034404078645674685,1,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,1,0,8,,,False,True,partially_addressed,3,5,intact,0.9,gpt-4o,1
"What are the reasons for the inconsistency between the spectral data for HD 189733b and the 8 um-photometry obtained with Spitzer's IRAC, and how do these discrepancies affect the detection of spectral features in the K-band?",evidence_tension,exoplanet_atmospheres-2012-007,exoplanet_atmospheres,2012,2012-12-31,,36,1,1,0,0,0,0,0,0,0,2,0.2768636352537451,0.18255108049261687,4,2,0.1,2.8,2.2715633383201093,0.4,2,4,1,0.2768636352537451,0.723136364746255,0.157254813458366,1,0,0.07401162026243661,0,0,1,1,1,1,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,1,0,10,,,False,True,posed_but_open,1,4,intact,0.9,gpt-4o,1
"How do the atmospheric dynamics of terrestrial planets differ from those of hot Jupiters, and what specific imaging or modeling techniques can accurately capture these differences?",evidence_tension,exoplanet_atmospheres-2012-008,exoplanet_atmospheres,2012,2012-12-31,,26,0,0,0,1,0,0,0,0,0,0,0.17240881752650228,0.13755629122123497,1,7,0.2,3.0,1.7888543819998317,0.4,2,2,1,0.17240881752650228,0.8275911824734977,0.1152304575650066,1,0,0.12401850248685675,0,0,0,0,0,0,0,0,0,0,1,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,1,0,0,,,False,False,not_addressed,0,0,not_applicable,0.9,auto_threshold,0
"What are the specific atmospheric conditions, including the presence of an inversion layer and potential stratospheric absorbers, that lead to the observed discrepancies in the emission spectra of exoplanets, particularly regarding the 4.5 and 5.8 micron bandpasses and the 8 micron brightness temperature?",evidence_tension,exoplanet_atmospheres-2012-009,exoplanet_atmospheres,2012,2012-12-31,,43,0,3,1,0,0,1,0,0,0,3,0.22393701823117657,0.16133164677069206,3,2,0.2,3.2,1.4000000000000001,0.3,4,2,1,0.22393701823117657,0.7760629817688234,0.14070615335664374,0,1,0.037561597656032786,1,0,1,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,1,0,7,,,False,True,partially_addressed,1,7,intact,0.9,gpt-4o,1
"What are the detailed chemical compositions and physical properties of the atmospheres of various exoplanets, particularly those that are not hot Jupiters?",direct_llm,exoplanet_atmospheres-2012-010,exoplanet_atmospheres,2012,2012-12-31,,22,0,0,0,0,0,0,0,0,0,0,0.1721689793399554,0.13291425628483372,1,3,0.0,1.8,1.661324772583615,0.7,0,0,0,0.1721689793399554,0.8278310206600445,0.11915641616160395,0,1,0.10711403844034989,0,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,0,0,7,,,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
"How do atmospheric circulation patterns vary among different types of exoplanets, and what are the implications for climate and habitability?",direct_llm,exoplanet_atmospheres-2012-011,exoplanet_atmospheres,2012,2012-12-31,,20,0,0,0,1,0,0,0,0,0,0,0.1788748137108685,0.14779694657902956,2,1,0.0,1.3,1.5524174696260025,0.8,0,0,0,0.1788748137108685,0.8211251862891316,0.12281005981928066,1,0,0.09318959668503685,0,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,0,1,5,2017-10-03,58.0,False,True,partially_addressed,2,6,intact,0.9,gpt-4o,1
